address,longitude,city,state,zip,Store,latitude
Target Wentzville T-2345,-90.88071500000001,Wentzville,MO,63385,Starbucks,38.81949799999999638
Natural Bridge & St Charles Rock Rd,-90.431058,Bridgeton,MO,63044,Starbucks,38.75619839
Target Washington T-2255,-90.98167600000001,Washington,MO,63090,Starbucks,38.53475140
Target Bridgeton T-12,-90.426063,Bridgeton,MO,63044,Starbucks,38.75354199999999641
Lindbergh & St Charles Rock Rd,-90.397653,St. Ann,MO,63074,Starbucks,38.73653342
Watson & Old Sappington,-90.38116600000001,Crestwood,MO,63126,Starbucks,38.5570143
Manchester & McKnight,-90.36744399999999,St. Louis,MO,63119,Starbucks,38.60863544
Brentwood & White,-90.348074,Brentwood,MO,63144,Starbucks,38.61962545
Target Brentwood T-1102,-90.342718,Brentwood,MO,63144,Starbucks,38.62794146
Dierbergs @ Brentwood Pointe,-90.340245,St. Louis,MO,63144,Starbucks,38.62919147
Tesson Ferry,-90.375378,St. Louis,MO,63128,Starbucks,38.50818948
Forsyth & N Central,-90.337899,Clayton,MO,63105,Starbucks,38.65032549
STL Terminal 1 Gate A5,-90.367636,St. Louis,MO,63145,Starbucks,38.74408850
Webster Groves,-90.33935799999999,Webster Groves,MO,63119,Starbucks,38.59077100000000451
Delmar & North & South,-90.337281,University City,MO,63130,Starbucks,38.65909352
STL Terminal 1 Gate C2,-90.36425600000001,St. Louis,MO,63145,Starbucks,38.74224500000000453
STL Terminal 2 Gate E29,-90.356755,St. Louis,MO,63145,Starbucks,38.73773654
STL Terminal 2 Gate E18,-90.35545,St. Louis,MO,63145,Starbucks,38.73736500000000455
Hanley & Wydown,-90.334723,Clayton,MO,63105,Starbucks,38.6432956
Hanley & Dale,-90.332838,Richmond Heights,MO,63117,Starbucks,38.6283157
Gravois and Rock Hill-Affton,-90.33369499999999,Affton,MO,63123,Starbucks,38.55111558
Target Saint Louis T-1509,-90.339841,St. Louis,MO,63128,Starbucks,38.50669859
Chippewa & Lansdowne,-90.30506899999999,St. Louis,MO,63109,Starbucks,38.59067460
Cheshire Inn - Market,-90.305576,St. Louis,MO,63117,Starbucks,38.63324661
Delmar Loop,-90.306203,University City,MO,63130,Starbucks,38.65622462
Arnold Crossroads,-90.37467099999999,Arnold,MO,63010,Starbucks,38.44469199999999663
Lindbergh and Lemay Ferry,-90.32650799999999,St. Louis,MO,63125,Starbucks,38.50684099999999464
Target Arnold T-1278,-90.39546,Arnold,MO,63010,Starbucks,38.41409565
